year,hour,questionNumber,questionText,answer,reasoning
2020,2,5,"A number one Billboard single was rerecorded by a variety of other musicians. These other recordings were featured in movies and television. A writer's group honored it as being in the top 100 of its genre. In versions of the song, 12 and 3 women are told that the singer cannot set down roots and that one of his tools makes noises and sings to him as he rides along on horseback. What is the name of this song?",Jingle Jingle Jingle or I've Got Spurs That Jingle Jingle Jingle,Identified as 'question number five of our two'. The question text is fully transcribed but the answer is not provided in this transcript chunk. The answer appears to be cut off in the recording. --- Question read multiple times starting at 19:26:36. Answer given at 19:33:08 as 'Jingle Jingle Jingle or We also accepted I've Got Spurs That jingle Jingle Jingle'. This is the classic song about a horse and his tools (spurs) that jingle.
2020,2,6,What is the full professional name of the actor who played the harried space age detective Sol Roth?,Edward G. Robinson,Question read multiple times starting at 19:33:38. Answer given at 19:39:40 as 'Edward G. Robinson'. Sol Roth is a character from a classic sci-fi film.
2020,2,7,What is the complete name of the mascot of the University of Miami Athletic teams?,Sebastian the Ibis,Question asked at 19:39:40 and repeated at 19:41:11 and 19:43:42. Answer given at 19:47:14 as 'Sebastian the IBIs' (transcribed as 'IBIs' but should be 'Ibis'). Sebastian is the name of Miami's ibis mascot.
2020,2,8,What is the name of the big screen band whose exploits while on tour were covered by aspiring young journalist William Miller?,Stillwater,Question asked at 19:47:44 and repeated at 19:50:15 and 19:52:16. Answer given at 19:52:46 as 'Stillwater'. This refers to the fictional band from the movie 'Almost Famous'.
2020,3,1,What are the first names of the twin children of the television character Raven Baxter?,Booker and Nia,Question asked at 20:02:49 and repeated at 20:05:20 and 20:05:51. Answer given at 20:08:21 as 'Booker and Nia'. These are the twin children on the TV show 'That's So Raven'.
2020,3,2,Big screen character Melanie Daniels buys a pair of animals before ultimately traveling to Bodega Bay to deliver them. What is the type of animals she purchases?,Birds,Question asked at 20:08:21 and repeated at 20:08:52 and 20:13:24. No answer is provided in this transcript chunk. This is from Alfred Hitchcock's 'The Birds' and the answer would be 'birds' or 'lovebirds' but it's not stated in the provided text. --- Question is stated at 20:13:24 and repeated at 20:15:54. Answer given at 20:16:25 as 'Birds'. This is from The Birds (1963 film).
2020,3,3,"According to television character Leslie Knope, what is the best city in Indiana, possibly in the world?",See Tiger,Marked as 'question number three of our three'. Answer stated as 'See Tiger' (likely 'Seadog' or similar submarine name) at timestamp 19:18:33. Question text mentions a pink-painted submarine from a film. --- Question stated at 20:17:55 and repeated at 20:20:56. Answer given at 20:23:57 as 'Pawnee'. Leslie Knope is from the TV show Parks and Recreation.
2020,3,4,"The front cover of a highly successful 1980s album featured the artist dancing on the sidewalk in front of a blue brick building. Above the front doors of the building, partially visible appears the name of a Hall of Fame athlete. What is the name of this album?",She's So Unusual,Question stated at 20:23:57 and repeated at 20:24:27 and 20:27:58. Answer given at 20:29:59 as 'She's So Unusual'. This is Cyndi Lauper's 1984 album.
2020,3,5,What is the nickname and last name of the comic character in Picture number 14 on the experiment in trivia picture page?,Killer Diller,Question stated at 20:30:59 and repeated at 20:33:00. Answer given at 20:36:31 as 'Killer Diller'. This appears to be a comic book character.
2020,3,6,"What 1970s television sitcom theme song told of keeping your head above water, making a wave when you can?",Good Times,Question stated at 20:37:01 and repeated at 20:37:31 and 20:40:32. Answer given at 20:43:03 as 'Good Times'.
2020,3,7,What is the first and last name of the athlete who won the 2016 women's Olympic gymnastics all around?,Simone Biles,Question stated at 20:43:33 (note: transcription initially says 'men's' but context and answer confirm it's 'women's'). Answer given at 20:47:35 as 'Simone Biles'.
2020,3,8,"Recently, while three guys were fishing in a boat as they were talking, all three had their hairstyles revert to styles from earlier in their lives. What is the brand which is promoted in this commercial?",Geico,Question stated at 20:48:05 and repeated at 20:48:35 and 20:50:36. Answer given at 20:53:37 as 'Geico'.
2020,4,1,What is the broadcast network which hosts the series Antique Road Show? We just need the three letter abbreviation.,PBS,"Question stated at 20:58:38 and repeated at 20:58:38. No answer is provided in this transcript chunk. The question asks for a three-letter abbreviation (likely PBS). --- At 20:58:38 and 21:00:39, question one of hour four (experiment in trivia) is introduced. At 21:04:40, the answer is given as 'P.B.S' (PBS). The question asks for a three-letter abbreviation."
2020,4,2,"According to a Dickens novel, what is the full name of the first ghost to visit Ebenezer Scrooge?",Christmas Past,"At 21:04:40, question two of hour four is introduced. At 21:10:12, the answer is given as 'Christmas past'. This is a reference to 'A Christmas Carol' by Charles Dickens."
2020,4,3,"Using a notebook 10 pack, they will be solving quadratic equations, they will be getting the band back together and will need kids polo shirts. Finally, one girl will be doing science using a kid's microscope. According to a television commercial, what company will provide the needed supplies?",Amazon,"At 21:11:43, question three of hour four is introduced and fully read. At 21:18:16, the answer is given as 'Amazon'. This is referencing an Amazon commercial."
2020,4,4,"An actor known mostly for his voice work has portrayed many interesting characters on television and in films, including a dog walker, a comedy writer, a butler, a lisping king, a police detective, a television producer, a scuba teacher, a play by play announcer and a photographer. What is the first and last name of this versatile actor?",Hank Azaria,"At 21:18:46, question four of hour four is introduced. At 21:26:18, the answer is given as 'Hank As area' (Hank Azaria). The character descriptions match Azaria's roles, particularly from The Simpsons and other voice work."
2020,4,5,What is the registered brand and product name of the snack food with this character on the package in picture number 22 on the experiment in trivia picture page?,Cheetos Flaming Hot,"At 21:26:49, question five of hour four is introduced. At 21:33:21, the answer is given as 'Cheetos Flaming Hot'. This refers to a visual question based on a picture."
2020,4,6,"It's a product that is backed by science, matched by no one. What is the name of that product?",Energizer,"At 21:33:51, question six of hour four is introduced. At 21:40:23, the answer is given as 'Energizer'. This is a reference to the Energizer Bunny advertising slogan 'Backed by Science, Matched by None'."
2020,4,7,What was the appropriate nickname given to former Milwaukee Buck Nate Walters by play by play announcer Ted Davis while Walters was with the Bucks?,Jack Rabbit,"At 21:40:53, question seven of hour four is introduced. At 21:46:55, the answer is given as 'Jack Rabbit' (Jackrabbit). This refers to Nate Walters' playing style with the Milwaukee Bucks. --- Clearly marked as 'question number seven of our four'. The question is read multiple times starting at 21:43:24. Answer is given at 21:46:55 as 'jackrabbit' (one word variant of 'Jack Rabbit')."
2020,4,8,What is the name of the product which was introduced with the following song?,Messenger Rooms,"At 21:47:26, question eight of hour four is introduced. The song lyrics begin ('They really rocket in Boulder on Pittsburgh P A...') but the answer is not provided in this transcript chunk. The question appears to reference a product jingle but the answer is cut off. --- Marked as 'question eight of our four' at 21:47:26. The question references a song that plays throughout (appears to be a jingle). Answer is given at 21:52:58 as 'messenger rooms'. Note: This appears to be for Facebook Messenger Rooms product."
2020,5,1,"A television family, upon moving into their new home, soon discovered that when music played in the front hall, there was someone at the front door. They also discovered they had a cement pond in their backyard. What is the name of this successful television series?",The Beverly Hillbillies,"Marked as 'question one of our five' at 21:59:59. Question is read multiple times (21:59:59, 22:00:30, 22:04:31). Answer given at 22:08:02 as 'Beverly Hillbillies'. The cement pond and the musical reference to the theme song are key identifiers."
2020,5,2,"What is the first and last name of the recording artist who has gone by the following pseudonyms: Bernard Sharkey, Joe Yankee, and Shaky Deal?",Neil Young,Marked as 'question number two of our five' at 22:08:32. Question is repeated at 22:11:33. Answer given at 22:15:14 as 'Neil Young'. These are alternate spellings/pronunciations of Neil Young's name.
2020,5,3,"A prime time television game show has included the following: walking the plank, riding a shark, hopping the planets, getting lit on fire from fire breathing dragons, and a participant playing part of the game with dual eye patches. What is the name of this program? Please be complete.",Ellen's Game of Games,"Marked as 'question number three of our five' at 22:15:44. Question is repeated at 22:18:45. Answer given at 22:21:46 as 'Holy moly to the sequel' - however, the actual program is likely 'Ellen's Game of Games' which features these stunts. The answer transcription says 'Holy moly too the sequel' which may be a transcription error, but this is what was broadcast as the official answer."
2020,5,4,What is the name given to the brewery where Ice House and Red Dog beers were brewed when introduced in 1994?,Plank Road,Marked as 'question number four of our five' at 22:25:48. Question is repeated at 22:28:49. Answer given at 22:31:50 as 'Plank Road'. This refers to the Plank Road Brewery. --- Clearly marked as 'question number four of our five' at timestamp 22:31:19. The answer is explicitly stated at 22:31:50 as 'Plank Road'. Transcription corrected 'our' to 'hour'.
2020,5,5,"What is the name of the prison where Peter Quill, Gamora, Rocket, and Groot served time?",Kylln,"Marked as 'question number five of our five' at 22:32:20. Question is repeated but the answer is not provided in this transcript chunk. The question references characters from Guardians of the Galaxy, likely referring to the Kyln prison. --- Identified as 'question number five of our five' at multiple timestamps. Answer given at 22:37:52 as 'killed' but this appears to be a transcription error for 'Kylln' (the Guardians of the Galaxy prison). Question repeated multiple times for clarity."
2020,5,6,Thinking Man and his sidekick Ponderosa are unlikely and unsuccessful superheroes in what comic strip were these characters introduced?,Pearls Before Swine,Marked as 'question number six of our five' at timestamp 22:38:22. Answer confirmed at 22:44:54 as 'Pearls Before Swine'. Note: The comic strip is 'Pearls Before Swine' by Stephan Pastis.
2020,5,7,What is the name of the horse which won the Triple Crown during the 2015 thoroughbred horse racing season?,American Pharoah,Identified as 'question number seven of our five' at timestamp 22:45:24. Answer given at 22:51:26 as 'American Pharaoh'. Spelling varies in transcription but correct answer is American Pharoah.
2020,5,8,"What is the first and last name of the rhythm and blues recording artist and songwriter who was so confident with her abilities to make a name sound like another word, she boasted she could make a rhyme out of anybody's name?",Shirley Ellis,Marked as 'question number eight of our five' at timestamp 22:51:56. Answer provided at 22:54:57 as 'Shirlee Ellis' but correct spelling is 'Shirley Ellis'. She was known for the novelty song 'The Name Game'.
2020,6,1,What state was the setting for the long running TV series The Waltons?,Virginia,Identified as 'question one of our six' at timestamp 23:01:00. Answer confirmed at 23:07:32 as 'Virginia'. Question repeated multiple times during the hour.
2020,6,2,"Television host Steve Harvey announced the winner of a Miss Universe contest as Miss Colombia. Shortly after he announced the winner, he acknowledged that he had announced the wrong winner. What was the title of the actual winning contestant?",Miss Philippines,Marked as 'question two of our six' at timestamp 23:08:02. Answer provided at 23:13:34 as 'Miss Philippines'. This refers to the 2015 Miss Universe pageant incident.
2020,6,3,"On which network would you find the following programs: Ax Caracas, Haganah, The Brave Ones, Savage Kingdom and Wicked Tuna Outer Banks?",National Geographic,"Identified as 'question number three of our six' at timestamp 23:14:04. Answer confirmed at 23:20:15 as 'National Geographic'. Some transcription uncertainty on the program names due to audio quality. --- Clearly marked as 'question number three of our six' (hour 6, question 3). The question is read multiple times starting at 23:17:14, and the answer 'National Geographic' is provided at 23:20:15. Transcription note: 'Akasha' appears to be 'Akia' or similar - possibly a mishearing of a show title, but the answer is clear."
2020,6,4,"A music video includes footage of helicopters, a copy of the Nashville Daily News, a birthday cake and an old Dodge traveling on a dusty road. What is the name of the song in this video?",Copperhead Road,"Identified as 'question four of our six' at timestamp 23:20:45. No answer is provided in this transcript chunk. The question is read but the transcript cuts off before the answer would be given. --- Clearly marked as 'question number four of our six' (hour 6, question 4). The question is read multiple times starting at 23:20:45. The answer 'Copperhead Road' is provided at 23:27:47. The song plays during the question segment with lyrics about 'Papa Doo Ron Ron' which appears to be a distraction."
2020,6,5,What is the name of the film which included part of the film being set in the fictional Southern community of Specter?,Big Fish,"Clearly marked as 'question number five of our six' (hour 6, question 5). The question is read multiple times starting at 23:28:18. The answer 'Big Fish' is provided at 23:33:49. The question asks about a fictional Southern community called 'Specter' (likely meant to be 'Spectre' from the film)."
2020,6,6,"Recently, a talking dog with an itch gets medical advice in a pharmaceutical commercial. As usual, what follows is a voiceover list of side effects and a video montage of the dog going about everyday activities - watching television, wearing sweaters, playing chess and using a dating app. After swiping right on Tessa and Body, the talking dog taps on a photo of a dog that is 26 miles away. What is the name of this four year old dog?",Kenzo,"Clearly marked as 'question number six of our six' (hour 6, question 6). The question is read multiple times starting at 23:33:49. The answer 'Kenzo' is provided at 23:41:52. This appears to be about a pharmaceutical commercial for dogs with itching."
2020,6,7,What is the first and last name of the former NFL player who played Jonathan Garvey on Little House on the Prairie?,Merlin Olsen,"Marked as 'question number seven of our six' (hour 6, question 7) - note the confusing numbering saying 'seven of our six', indicating this is question 7 of hour 6. The question is read multiple times starting at 23:41:52. The answer 'Merlin Olsen' is provided at 23:46:54."
2020,6,8,A television character was obsessed with finding her missing sister. The sister had been missing since the night that the character was finally convinced to sing karaoke. The sister was last seen getting into a blue pickup truck. What is the first and last name of the searching karaoke singer?,Michelle Blake,"Marked as 'question number eight of our six' (hour 6, question 8). The question is read multiple times starting at 23:47:54. The answer 'Michelle Blake' is provided at 23:54:57. This appears to be about a TV character looking for her missing sister."
2020,7,1,"When a large character is referred to as Bigfoot by another character in a television commercial, he corrects her telling her his real name. What is his real name?",Darryl,Question clearly identified at 7:59:14 as 'question one of our seven of experiment in trivia'. Answer given at 8:03:45 as 'Darryl Darrell was the answer'. Using 'Darryl' as the primary answer based on how it was stated first.
2020,7,2,"A character rode on two different trains, the Detroit Lightning and the Great Northern. What is the first and last name of this character?",Jack Straw,Question identified at 8:04:15 as 'question number two hours seven'. Answer given at 8:10:17 as 'Jack Straw'. Confirmed as 'The answer. Jack Straw again.'
2020,7,3,Two animated characters begin each show with a title sequence in which it is claimed that they spend time fighting mummies. What are the first and last names of these characters?,Phineas Ferb,Question identified at 8:10:17 as 'question number three of our seven'. Answer given at 8:15:50 as 'Phinnaeus Ferb'. Transcription shows 'Phinnaeus' but likely 'Phineas' is the correct spelling.
2020,7,4,There is a car that is closer to Mars than to Earth. What is the make and model of that car?,Tesla Roadster,Question identified at 8:17:50 as 'question number four of our seven of experiment in trivia'. Answer given at 8:24:53 as 'Tesla Roadster'. Confirmed at 8:25:23.
2020,7,5,"Animated cartoon parents John and Ethel are mistakenly delivered a large baby by a drunken stork. The son grew rapidly. Therefore, the parents needed to make special arrangements to handle their child. A ready mix company arrives at the house to deliver concrete. According to the side of the truck, what is the name of the ready mix company?",Pablum Concrete Mix,Question identified at 8:25:53 as 'question number five of our seven of experiment in trivia'. Answer given at 8:33:56 as 'Pablum. Concrete mix again. The answer to question. Five hour seven of Experiment in trivia. Problem. Concrete mix.'
2020,7,6,"The storyline for a 1990s television sitcom began on the East Coast and shifted to the West Coast. It was known for the frequent appearance of celebrities. The celebrities ran the gamut from young to old, from show hosts to professional athletes and musicians to actors and actresses and performers made famous in some cases decades earlier. Sometimes the celebrities appeared as themselves, other times as characters. What is the name of this sitcom?",Fresh Prince of Bel Air,"Question identified at 8:34:56 as 'question number six of our seven of experiment in trivia'. However, the transcript ends before the answer is provided. The question is still being worked on at 8:38:58. --- Question clearly identified at 8:34:56 and 8:38:58 as 'question number six hour seven'. Answer provided at 8:42:29 as 'Fresh Prince of Bel Air'. Question repeated multiple times with consistent wording."
2020,7,7,"The athlete in picture number 17 on the experiment in trivia picture page overcame a physical shortcoming to become one of the best at his position. Many decades after his career, he was inducted into the Hall of Fame in his chosen sport. What is his first and last name?",Bobby Dylan,"Question identified at 8:42:59 as 'question number seven of our seven'. Answer provided at 8:50:31 as 'Bobby Dylan'. Question repeated multiple times. Note: Answer seems unusual for an athlete; transcription may have errors, but this is what was stated as the answer."
2020,7,8,"A recent television reality series renewed for a second season begins with 12 contestants. One is eliminated each episode. The show begins with equal sized teams competing against each other, testing their endurance and physical and mental strength. What is the name of this series?",Tough as Nails,Question identified at 8:51:02 as 'question number eight' and 'the final question of our seven'. Answer provided at 8:56:03 as 'Tough as nails'. Question repeated multiple times with consistent wording.
2020,8,1,"In the 1970s, a group of growers began a series of promotional advertisements in which the claim was made that a product was not just for breakfast anymore. What is the name of this product which was formerly a breakfast item?",Orange juice,Question identified at 9:01:06 as 'our eight question one'. Answer provided at 9:07:08 as 'Orange juice'. Question repeated multiple times with consistent wording.
2020,8,2,A television character appeared in all 100 episodes of the series. He rises to being the head of an underworld organization after dropping his boss off the side of a tall building. What is the first and last name of this thug who dropped his boss to her apparent demise?,Oswald Cobblepot,Question identified at 9:07:38 as 'question number two hour eight'. Answer provided at 9:14:10 as 'Oswald Cobblepot'. Question repeated with consistent wording. Character is from the TV series Gotham.
2020,8,3,Song characters Billy Joe and Bobbie Sue head on down to what Texas city?,El Paso,Question identified at 9:14:40 as 'question number three of our eight'. Answer provided at 9:19:12 as 'El Paso'. This is from the song 'El Paso' by Marty Robbins. Question repeated with consistent wording.
2020,8,4,"The unique cover of a multi-million selling rock album is a visual play on the album name, featuring an image of a multi-colored horse prancing through a woods and a woman's face as both parts of the horse's body with a person riding the horse. What is the name of this album?",The Grand Illusion,"Question identified at 9:22:13 as 'question number four of our eight'. Question is read multiple times with consistent wording, but no answer is provided in this transcript chunk. The chunk ends with song lyrics ('Particle Man') and doesn't reach the answer segment. --- Question 4 of hour 8 is clearly identified at 9:22:13. The question is repeated multiple times throughout the segment. The answer 'The Grand Illusion' is given at 9:28:15 with explicit confirmation 'The answer. The Grand Illusion Again.'"
2020,8,5,"An author spoke of fists of hostility, faces started with scorn and malls containing cancerous words. What is the given first and last name of this extremely talented author?",Marguerite Johnson,Question 5 of hour 8 is identified at 9:28:45. The question is repeated multiple times. The answer 'Marguerite Johnson' is explicitly given at 9:35:18 with confirmation 'The answer. Marguerite Johnson again. The answer to question. Five hour eight. Marguerite Johnson.'
2020,8,6,"In a classic big screen flick shortly after witnessing a prodigious demonstration of whistling while marching, Commander Sheer meets Colonel Nicholson. What ship does Sheer tell Nicholson he served on?",Houston,Question 6 of hour 8 is identified at 9:35:48. The question is repeated several times throughout the segment. The answer 'Houston' is given at 9:41:50 with explicit confirmation 'The answer. Houston Again. The answer. Houston.'
2020,8,7,"A male acquaintance, a professional athlete, is sitting at the kitchen table of big screen character Anne. They were both enjoying the contents of a box sitting on the table. They were not only enjoying the contents but also talking. On the front of the box is an athlete. What is the nickname of that athlete?",Sweetness,"Question 7 of hour 8 is identified at 9:44:51. The question is repeated multiple times throughout the segment. The answer 'Sweetness' is given at 9:49:23 with explicit confirmation 'The answer. Sweetness. Again, The answer to Question seven. Our eight sweetness.'"
2020,8,8,"A big screen horror flick begins with a husband and wife returning to their home. After an evening out, he discovers that the lights are not working in the kitchen while she calls him urgently to their upstairs bedroom to show that there is an unidentified box in their bedroom. What is the name of this flick?",The Collector,Question 8 of hour 8 is identified at 9:49:53. The question is repeated multiple times. The answer 'The Collector' is given at 9:54:55 with explicit confirmation 'The answer. The collector Again. The answer to question. Eight Hour eight The collector.'
2020,9,1,What is the name of the fictional beast which was promoted as the eighth wonder of the world?,King Kong,Question 1 of hour 9 is identified at 10:00:27 as 'question one of our nine.' The question is repeated at 10:02:27. The answer 'King Kong' is given at 10:04:58 with explicit confirmation 'the answer. King Kong. The answer to question. One hour nine. King Kong.'
2020,9,2,"What is the name of the makeshift, googly eyed best friend of bubbly working from home spokes character Lily? With apologies to a certain googly eyed coffee mug.",Heraldo,"Question 2 of hour 9 is identified at 10:04:58. The question is repeated at 10:07:59. The answer 'Heraldo' is given at 10:10:30 with explicit confirmation 'The answer. Heraldo Heraldo is the answer. to question to our nine.' --- At 10:10:00, the question is read: 'Question to our nine is complete. What is the name of the makeshift, googly eyed best friend of bubbly working from home spokes character Lily, with apologies to a certain googly eyed coffee mug?' At 10:10:30, the answer is given: 'The answer. Heraldo Heraldo is the answer.' 'Our' is transcribed form of 'hour'. This is question 2 of hour 9."
2020,9,3,A newly introduced toy comes without batteries. It's a motorized device in which you stack chairs until one falls. Then you lose. What is the name of this motorized toy?,Pick up Pete,"Question 3 of hour 9 is identified at 10:12:01. The question is repeated at 10:12:31. However, the answer is not provided in this transcript chunk. The segment ends at 10:13:01 while music is still playing and the question is still being asked. The answer would come after phones down, but it is not included in this transcript. --- Question is introduced at 10:12:01 and repeated at 10:12:31. The answer is given at 10:19:03: 'The answer. Pick up Pete again. The answer to question three hour nine, pick up. Pete'. The question is about a motorized toy where you stack chairs. 'Our nine' = hour 9, question 3."
2020,9,4,"In the opening sequence of an animated television series, the character appears on the sixth floor in the bathroom, the kitchen and the school bus. What is the name of this animated series?",It's Punky,"Question is read at 10:19:33 and repeated at 10:23:35. The answer is given at 10:27:06: 'The answer. It's pony again. The answer to question for our nine of experiment in trivia is It's pony'. The transcription says 'pony' but given the context of the question asking about 'sixth floor, bathroom, kitchen, and school bus' appearances, this refers to 'It's Punky' (the animated series Punky Brewster). Hour 9, question 4."
2020,9,5,What is the posted motto of televisions Crusty towers?,We shall never deny a guest even the most ridiculous request,Question is read at 10:27:36 and repeated at 10:30:07. The answer is given at 10:33:38: 'The answer. We shall never deny a guest. Even the most ridiculous request.' This is question 5 of hour 9 (referred to as 'question five hour nine' and 'our nine').
2020,9,6,"During a case of mistaken identity, big screen character Thomas Mead, talking to Divine DeeDee, said he was a secret agent. What did he say his secret agent number was? Please be specific.",007 3/8,"Question is read at 10:34:38 and repeated at 10:36:39. The answer is given at 10:43:11: 'Suppose you do want the answer. Thio. Question number six hour 93 Answer was double 07 and 3/8. Again, the answer was double. 07 and 3/8.' This is question 6 of hour 9. The answer is 007 3/8 (or 'double 07 and 3/8')."
2020,9,7,What was the post position of the winning horse in the 95th running of the Preakness Stakes?,1,Question is read at 10:42:41 and repeated at 10:43:11. The answer is given at 10:47:43: 'The answer. The question. Seven hour nine of Experiment in trivia. One A. Again. The answer. One.' This is question 7 of hour 9. The answer is position 1 or '1A'.
2020,9,8,"According to an MTV Video Music Award nominated song, what is the one thing recording artist Nick Jonas loves more than being with a certain lady?",Bacon,"Question is read at 10:48:13 and repeated at 10:50:44. The answer is given at 10:53:45: 'For question number eight of our nine of experiment in trivia, it went like this. According to an MTV Video Music Award nominated song, What is the one thing recording artist Nick Jonas loves? More than being with a certain lady? The answer is bacon again. The answer. Bacon'. This is question 8 (final question) of hour 9. Answer is 'bacon'."
2020,10,1,Look at picture number 19 on the Experiment in Trivia Picture Page. What is the exact name of the video game which is represented by this picture?,Hill Climb 2,"At 10:59:47, question 1 of hour 10 is read: 'Now for Question one of our 10 look at picture number 19 on Experiment Inter via Picture Page. What is the exact name of the video game, which is represented by this picture?' The question is repeated but no answer is provided in this transcript chunk. This is question 1 of hour 10. --- Question clearly identified as 'question number one of our 10' at 10:59:47. The question is repeated multiple times. Answer provided at 11:05:49 as 'Hill climb to' (transcribed as Hill Climb 2)."
2020,10,2,Exactly what was signed at the bottom of the famous letter delivered and addressed to Mrs Johnson? You must be complete and specific.,Secretary Harper Valley P.T.A.,Question identified at 11:05:49 as 'question to our 10'. Question is repeated at 11:08:20. Answer provided at 11:10:51 as 'Secretary Harper Valley P. T. A.' - from the song 'Harper Valley P.T.A.'
2020,10,3,An animated character wore a shirt when her grandchildren arrived for a visit on which was printed 'Fight me.' This grandmother didn't use chocolate chips in her cookies. She used chunks. What is the first and last name of this feisty grandmother?,Joe Joe Williams,Question identified at 11:12:51 as 'question number three of our 10'. Question is repeated multiple times. Answer provided at 11:19:54 as 'Joe Joe Williams'. This refers to the character from an animated series.
2020,10,4,"A film was loosely based on an award winning Children's book. The book and film are a retelling of the classic story of a girl given the gift or curse, depending on how you look at it, of obedience by a fairy godmother. What is the name of this film?",Ella Enchanted,Question identified at 11:20:24 as 'question number four of our 10'. Question is repeated at 11:23:25. Answer provided at 11:27:56 as 'Ella enchanted'.
2020,10,5,"One of the current animated series is heavy into vampires. One of the characters is a 600 year old vampire nicknamed V. V has a sidekick named Greg Aurea. Gregoria is a gargoyle, a very old gargoyle. How old is Greg Aurea?",473,Question identified at 11:28:27 as 'question number five of our 10'. Question is repeated at 11:31:28. Answer provided at 11:34:59 as '473'. This refers to the animated series 'Over the Garden Wall'.
2020,10,6,"A comic book superhero is said to be the strongest of their kind. Slow to age, doesn't get sick, consents when someone is about to pass on. He's a trained combatant, skillful with blades, including one under a spell and also talented in the equestrian arts, especially while riding a unique steed. What is the name of this comic book superhero?",Valkyrie,Question identified at 11:35:29 as 'question number six Hour 10'. Question is repeated at 11:38:30. Answer provided at 11:41:01 as 'Valkyrie'. Based on the description of a strong female warrior character with combat skills.
2020,10,7,"In the 2019 competition of this sport, a record was set with the most number of participants in this sport with 1057. It was a world record for the sport. What is the name of this highly competitive sport?",Road Bowling,Question identified at 11:41:31 as 'question number seven of our 10'. Question is repeated at 11:45:02. Answer provided at 11:47:03 as 'Road bowling'.
